tehsil,sku_name,month_year,qty,revenue,transaction_count
Agra_T003,Amistar 250 SC,2026-03,29,32755.61,3
Agra_T003,Movondo,2025-10,2,3498.82,1
Agra_T003,Movondo,2025-11,28,37511.12,4
Agra_T003,Movondo,2025-12,22,21337.64,5
Agra_T003,Movondo,2026-01,61,71271.84,2
Agra_T003,Movondo,2026-02,15,27673.5,3
Agra_T003,Movondo,2026-03,5,7771.799999999999,1
Agra_T003,Score 250 EC,2025-10,20,29343.79,7
Agra_T003,Score 250 EC,2025-11,118,201654.46000000002,3
Agra_T003,Score 250 EC,2025-12,59,104631.28,3
Agra_T003,Score 250 EC,2026-01,30,24066.55,3
Agra_T003,Score 250 EC,2026-02,7,11493.85,3
Agra_T003,Score 250 EC,2026-03,35,30535.910000000003,4
Agra_T005,Movondo,2025-10,1,531.4,1
Agra_T005,Movondo,2025-11,6,3083.34,1
Agra_T005,Movondo,2025-12,6,7094.93,3
Agra_T005,Movondo,2026-01,9,8335.61,2
Agra_T005,Movondo,2026-02,16,28773.269999999997,3
Agra_T005,Movondo,2026-03,2,1949.38,1
Agra_T005,Vibrance Integral,2025-10,5,5325.049999999999,3
Agra_T005,Vibrance Integral,2025-11,13,21854.900000000005,5
Agra_T005,Vibrance Integral,2025-12,86,146573.88,5
Agra_T005,Vibrance Integral,2026-01,36,47990.06,2
Agra_T005,Vibrance Integral,2026-02,14,30259.04,1
Agra_T005,Vibrance Integral,2026-03,24,36125.4,4
Agra_T006,Amistar 250 SC,2025-10,103,136572.04,5
Agra_T006,Amistar 250 SC,2025-11,9,5983.38,2
Agra_T006,Amistar 250 SC,2025-12,28,42595.700000000004,6
Agra_T006,Amistar 250 SC,2026-01,22,37219.19,4
Agra_T006,Amistar 250 SC,2026-02,4,4976.18,2
Agra_T006,Amistar 250 SC,2026-03,44,58727.49999999999,3
Agra_T006,Kavach 75 WP,2025-10,3,4204.4400000000005,1
Agra_T006,Kavach 75 WP,2025-11,31,36476.92,7
Agra_T006,Kavach 75 WP,2025-12,5,6015.29,5
Agra_T006,Kavach 75 WP,2026-01,195,242568.60000000003,3
Agra_T006,Kavach 75 WP,2026-02,15,22922.270000000004,2
Agra_T006,Movondo,2025-10,11,14624.580000000002,3
Agra_T006,Movondo,2025-11,61,98111.18,8
Agra_T006,Movondo,2025-12,25,30161.79,4
Agra_T006,Movondo,2026-01,17,20790.41,4
Agra_T006,Movondo,2026-02,24,13942.96,2
Agra_T006,Movondo,2026-03,13,14931.34,3
Agra_T006,Score 250 EC,2025-10,114,95631.18000000001,1
Agra_T006,Score 250 EC,2025-11,21,29996.23,3
Agra_T006,Score 250 EC,2025-12,13,22417.760000000002,6
Agra_T006,Score 250 EC,2026-01,20,23636.66,4
Agra_T006,Score 250 EC,2026-02,28,47555.41,3
Agra_T006,Score 250 EC,2026-03,10,11131.45,3
Agra_T008,Cruiser 350 FS,2025-10,28,21766.71,5
Agra_T008,Cruiser 350 FS,2025-11,136,127991.92000000001,2
Agra_T008,Cruiser 350 FS,2025-12,11,17166.05,3
Agra_T008,Cruiser 350 FS,2026-01,87,169638.31,2
Agra_T008,Cruiser 350 FS,2026-02,3,6217.799999999999,2
Agra_T008,Cruiser 350 FS,2026-03,3,3351.21,1
Agra_T008,Kavach 75 WP,2025-10,10,8008.5,2
Agra_T008,Kavach 75 WP,2025-11,40,65359.04,6
Agra_T008,Kavach 75 WP,2025-12,3,3456.42,1
Agra_T008,Kavach 75 WP,2026-01,8,13047.34,4
Agra_T008,Kavach 75 WP,2026-02,146,256184.88999999998,4
Agra_T008,Kavach 75 WP,2026-03,3,3800.0499999999997,3
Agra_T010,Axial 50 EC,2025-10,2,3244.9,2
Agra_T010,Axial 50 EC,2025-11,81,68220.95,4
Agra_T010,Axial 50 EC,2025-12,21,26514.0,2
Agra_T010,Axial 50 EC,2026-01,14,19742.38,4
Agra_T010,Axial 50 EC,2026-02,16,23059.32,2
Agra_T010,Axial 50 EC,2026-03,60,108581.91,2
Agra_T010,Score 250 EC,2025-10,103,162390.66,4
Agra_T010,Score 250 EC,2025-11,39,41662.58,9
Agra_T010,Score 250 EC,2025-12,24,28996.329999999998,8
Agra_T010,Score 250 EC,2026-01,21,23348.18,5
Agra_T010,Score 250 EC,2026-02,109,104564.21000000002,7
Agra_T010,Score 250 EC,2026-03,35,57282.13,8
Agra_T010,Topik 15 WP,2025-10,139,159158.31,7
Agra_T010,Topik 15 WP,2025-11,13,14352.68,4
Agra_T010,Topik 15 WP,2025-12,23,36055.49,5
Agra_T010,Topik 15 WP,2026-01,6,10900.86,1
Agra_T010,Topik 15 WP,2026-02,7,4455.78,1
Agra_T010,Vibrance Integral,2025-10,3,2697.67,2
Agra_T010,Vibrance Integral,2025-11,29,28819.53,3
Agra_T010,Vibrance Integral,2025-12,18,29688.489999999998,2
Agra_T010,Vibrance Integral,2026-01,15,19927.86,4
Agra_T010,Vibrance Integral,2026-02,121,82414.02,4
Agra_T010,Vibrance Integral,2026-03,27,16957.93,4
Agra_T012,Amistar 250 SC,2025-10,3,3197.8599999999997,2
Agra_T012,Amistar 250 SC,2025-11,5,2104.95,1
Agra_T012,Amistar 250 SC,2025-12,28,38979.96,8
Agra_T012,Amistar 250 SC,2026-01,10,9681.599999999999,2
Agra_T012,Amistar 250 SC,2026-02,3,3842.34,1
Agra_T012,Amistar 250 SC,2026-03,184,107376.16,2
Agra_T012,Score 250 EC,2025-10,8,13210.42,3
Agra_T012,Score 250 EC,2025-11,70,102352.63,5
Agra_T012,Score 250 EC,2025-12,13,13895.560000000001,3
Agra_T012,Score 250 EC,2026-01,21,27255.62,3
Agra_T012,Score 250 EC,2026-02,3,3763.6800000000003,2
Agra_T012,Score 250 EC,2026-03,14,12223.24,3
Agra_T012,Vertimec 1.8 EC,2025-10,9,15748.789999999999,4
Agra_T012,Vertimec 1.8 EC,2025-11,35,26833.299999999996,7
Agra_T012,Vertimec 1.8 EC,2025-12,79,133301.45,5
Agra_T012,Vertimec 1.8 EC,2026-01,16,26908.14,2
Agra_T012,Vertimec 1.8 EC,2026-02,8,13175.54,2
Agra_T012,Vertimec 1.8 EC,2026-03,14,24610.93,4
Agra_T012,Vibrance Integral,2025-10,13,9508.48,3
Agra_T012,Vibrance Integral,2025-11,63,125432.64,4
Agra_T012,Vibrance Integral,2025-12,6,4593.360000000001,2
Agra_T012,Vibrance Integral,2026-01,41,57309.95,7
Agra_T012,Vibrance Integral,2026-02,14,30425.589999999997,2
Agra_T012,Vibrance Integral,2026-03,5,8306.75,2
Agra_T015,Alto 5 SC,2025-10,23,13385.859999999999,2
Agra_T015,Alto 5 SC,2025-11,162,249746.72999999998,9
Agra_T015,Alto 5 SC,2025-12,26,38299.47000000001,7
Agra_T015,Alto 5 SC,2026-01,27,54780.69,3
Agra_T015,Alto 5 SC,2026-02,75,58479.63999999999,3
Agra_T015,Alto 5 SC,2026-03,31,34788.35,2
Agra_T015,Amistar 250 SC,2025-10,2,3425.78,1
Agra_T015,Amistar 250 SC,2025-11,25,40843.38,4
Agra_T015,Amistar 250 SC,2025-12,17,16338.130000000001,2
Agra_T015,Amistar 250 SC,2026-01,8,10949.989999999998,6
Agra_T015,Amistar 250 SC,2026-02,31,22359.39,3
Agra_T015,Amistar 250 SC,2026-03,6,6973.799999999999,1
Agra_T015,Score 250 EC,2025-10,153,192249.36000000002,2
Agra_T015,Score 250 EC,2025-11,8,14916.88,1
Agra_T015,Score 250 EC,2025-12,9,9703.91,3
Agra_T015,Score 250 EC,2026-01,32,43889.950000000004,11
Agra_T015,Score 250 EC,2026-02,21,41124.12,3
Agra_T015,Score 250 EC,2026-03,7,9940.3,2
Agra_T015,Tilt 250 EC,2025-10,105,121872.4,6
Agra_T015,Tilt 250 EC,2025-11,18,25138.47,5
Agra_T015,Tilt 250 EC,2025-12,29,31385.050000000007,5
Agra_T015,Tilt 250 EC,2026-01,4,8645.2,1
Agra_T015,Tilt 250 EC,2026-02,12,18269.659999999996,5
Agra_T015,Tilt 250 EC,2026-03,32,25094.24,2
Agra_T015,Vibrance Integral,2025-10,69,70941.85,13
Agra_T015,Vibrance Integral,2025-11,56,56970.89,11
Agra_T015,Vibrance Integral,2025-12,25,35544.23999999999,6
Agra_T015,Vibrance Integral,2026-01,65,92674.38999999998,7
Agra_T015,Vibrance Integral,2026-02,23,33977.41,5
Agra_T015,Vibrance Integral,2026-03,15,19936.730000000003,5
Agra_T017,Alto 5 SC,2025-10,165,150349.09000000003,3
Agra_T017,Alto 5 SC,2025-11,19,36871.4,1
Agra_T017,Alto 5 SC,2025-12,29,42316.07,3
Agra_T017,Alto 5 SC,2026-01,16,16276.95,5
Agra_T017,Alto 5 SC,2026-02,6,10016.760000000002,4
Agra_T017,Alto 5 SC,2026-03,10,8951.45,3
Agra_T017,Movondo,2025-10,2,2149.71,2
Agra_T017,Movondo,2025-11,18,21422.1,4
Agra_T017,Movondo,2025-12,169,311778.89,7
Agra_T017,Movondo,2026-01,48,64068.299999999996,3
Agra_T017,Movondo,2026-02,1,1962.11,1
Agra_T017,Movondo,2026-03,12,17284.47,5
Agra_T017,Vibrance Integral,2025-10,137,197686.40999999997,2
Agra_T017,Vibrance Integral,2025-11,27,31813.86,4
Agra_T017,Vibrance Integral,2025-12,22,35073.09,9
Agra_T017,Vibrance Integral,2026-01,9,9973.14,4
Agra_T017,Vibrance Integral,2026-02,17,18221.82,2
Agra_T017,Vibrance Integral,2026-03,24,28101.579999999998,2
Agra_T018,Amistar 250 SC,2025-10,88,83713.76000000001,3
Agra_T018,Amistar 250 SC,2025-11,1,580.4,1
Agra_T018,Amistar 250 SC,2025-12,5,8308.300000000001,1
Agra_T018,Amistar 250 SC,2026-02,20,16030.400000000001,2
Agra_T018,Amistar 250 SC,2026-03,8,10106.380000000001,7
Agra_T018,Kavach 75 WP,2025-10,14,12853.81,4
Agra_T018,Kavach 75 WP,2025-11,155,278357.2,5
Agra_T018,Kavach 75 WP,2025-12,2,1426.14,1
Agra_T018,Kavach 75 WP,2026-02,31,34326.880000000005,11
Agra_T018,Kavach 75 WP,2026-03,22,34785.51,4
Agra_T018,Score 250 EC,2025-10,11,18243.04,5
Agra_T018,Score 250 EC,2025-11,72,113535.9,2
Agra_T018,Score 250 EC,2025-12,33,48938.73,3
Agra_T018,Score 250 EC,2026-01,1,430.21,1
Agra_T018,Score 250 EC,2026-02,6,8700.18,1
Agra_T018,Score 250 EC,2026-03,5,3765.64,2
Agra_T018,Tilt 250 EC,2025-10,18,23175.039999999997,3
Agra_T018,Tilt 250 EC,2025-11,69,66956.88,4
Agra_T018,Tilt 250 EC,2025-12,43,73135.28,6
Agra_T018,Tilt 250 EC,2026-01,12,19182.57,5
Agra_T018,Tilt 250 EC,2026-02,7,8337.62,3
Agra_T018,Tilt 250 EC,2026-03,30,51285.8,2
Agra_T018,Vertimec 1.8 EC,2025-10,111,188342.25,2
Agra_T018,Vertimec 1.8 EC,2025-12,8,12168.17,4
Agra_T018,Vertimec 1.8 EC,2026-01,44,69803.65,4
Agra_T018,Vertimec 1.8 EC,2026-02,16,28549.12,1
Agra_T018,Vertimec 1.8 EC,2026-03,25,40112.15,2
Agra_T019,Actara 25 WG,2025-10,8,17503.36,1
Agra_T019,Actara 25 WG,2025-11,7,9654.31,4
Agra_T019,Actara 25 WG,2025-12,29,35109.61,6
Agra_T019,Actara 25 WG,2026-01,22,16028.34,4
Agra_T019,Actara 25 WG,2026-02,28,45045.86,3
Agra_T019,Actara 25 WG,2026-03,3,2499.97,2
Agra_T019,Cruiser 350 FS,2025-10,17,29205.21,3
Agra_T019,Cruiser 350 FS,2025-11,4,6901.7699999999995,3
Agra_T019,Cruiser 350 FS,2025-12,65,121596.64000000001,3
Agra_T019,Cruiser 350 FS,2026-01,15,23868.730000000003,3
Agra_T019,Cruiser 350 FS,2026-02,17,24569.989999999998,6
Agra_T019,Cruiser 350 FS,2026-03,25,33055.17,7
Agra_T019,Tilt 250 EC,2025-10,20,9917.88,4
Agra_T019,Tilt 250 EC,2025-11,36,45944.02,8
Agra_T019,Tilt 250 EC,2025-12,91,130072.68000000001,10
Agra_T019,Tilt 250 EC,2026-01,33,36709.66,4
Agra_T019,Tilt 250 EC,2026-02,47,60966.74,8
Agra_T019,Tilt 250 EC,2026-03,22,20449.39,6
Agra_T019,Vertimec 1.8 EC,2025-10,15,28412.850000000002,1
Agra_T019,Vertimec 1.8 EC,2025-11,72,91040.77,6
Agra_T019,Vertimec 1.8 EC,2026-01,30,60333.159999999996,5
Agra_T019,Vertimec 1.8 EC,2026-02,39,64494.25,3
Agra_T019,Vertimec 1.8 EC,2026-03,5,7896.880000000001,5
Agra_T022,Actara 25 WG,2025-10,22,31899.09,5
Agra_T022,Actara 25 WG,2025-11,15,28897.82,4
Agra_T022,Actara 25 WG,2025-12,175,198910.47,3
Agra_T022,Actara 25 WG,2026-02,17,17557.33,4
Agra_T022,Actara 25 WG,2026-03,12,10881.04,4
Agra_T022,Amistar 250 SC,2025-12,106,94005.74999999999,7
Agra_T022,Amistar 250 SC,2026-01,16,16721.11,4
Agra_T022,Amistar 250 SC,2026-02,9,5036.74,2
Agra_T022,Amistar 250 SC,2026-03,21,26622.44,5
Agra_T022,Cruiser 350 FS,2025-10,119,164972.53,4
Agra_T022,Cruiser 350 FS,2025-11,29,27541.870000000003,3
Agra_T022,Cruiser 350 FS,2025-12,7,13240.419999999998,2
Agra_T022,Cruiser 350 FS,2026-01,13,22330.15,4
Agra_T022,Cruiser 350 FS,2026-02,25,23809.43,5
Agra_T022,Cruiser 350 FS,2026-03,16,24753.139999999996,6
Agra_T022,Kavach 75 WP,2025-10,7,10867.29,3
Agra_T022,Kavach 75 WP,2025-11,25,23008.760000000002,8
Agra_T022,Kavach 75 WP,2025-12,67,105402.62999999998,11
Agra_T022,Kavach 75 WP,2026-01,67,114164.38000000002,5
Agra_T022,Kavach 75 WP,2026-02,74,121043.29,6
Agra_T022,Kavach 75 WP,2026-03,65,59992.23,8
Agra_T022,Movondo,2025-11,144,243441.86,4
Agra_T022,Movondo,2025-12,5,3465.65,1
Agra_T022,Movondo,2026-01,21,30112.8,4
Agra_T022,Movondo,2026-02,5,9180.2,1
Agra_T022,Movondo,2026-03,14,14333.34,1
Agra_T022,Topik 15 WP,2025-10,51,60517.10999999999,1
Agra_T022,Topik 15 WP,2025-11,35,39680.68,6
Agra_T022,Topik 15 WP,2025-12,16,22572.440000000002,2
Agra_T022,Topik 15 WP,2026-02,6,13070.099999999999,1
Agra_T022,Topik 15 WP,2026-03,15,19950.77,4
Agra_T023,Cruiser 350 FS,2025-10,13,20838.38,4
Agra_T023,Cruiser 350 FS,2025-11,11,8893.43,5
Agra_T023,Cruiser 350 FS,2025-12,10,15024.1,2
Agra_T023,Cruiser 350 FS,2026-01,25,28207.17,8
Agra_T023,Cruiser 350 FS,2026-02,102,98427.96,1
Agra_T023,Cruiser 350 FS,2026-03,35,52417.90000000001,2
Agra_T023,Movondo,2025-10,89,152624.36,7
Agra_T023,Movondo,2025-11,3,2197.05,1
Agra_T023,Movondo,2025-12,2,3758.02,1
Agra_T023,Movondo,2026-01,7,7481.6,2
Agra_T023,Movondo,2026-02,37,38987.47,9
Agra_T023,Movondo,2026-03,8,10968.48,1
Agra_T023,Topik 15 WP,2025-10,11,15200.449999999999,5
Agra_T023,Topik 15 WP,2025-11,6,6283.96,2
Agra_T023,Topik 15 WP,2025-12,9,9961.22,6
Agra_T023,Topik 15 WP,2026-01,148,110355.88,4
Agra_T023,Topik 15 WP,2026-02,75,93826.22,6
Agra_T023,Topik 15 WP,2026-03,30,43339.5,2
Agra_T023,Vertimec 1.8 EC,2025-10,17,24119.28,4
Agra_T023,Vertimec 1.8 EC,2025-11,60,57006.13999999999,7
Agra_T023,Vertimec 1.8 EC,2025-12,17,16000.630000000001,2
Agra_T023,Vertimec 1.8 EC,2026-01,19,23547.15,6
Agra_T023,Vertimec 1.8 EC,2026-02,13,10794.689999999999,3
Agra_T023,Vertimec 1.8 EC,2026-03,67,62327.22,5
Agra_T025,Alto 5 SC,2025-10,30,31589.12,6
Agra_T025,Alto 5 SC,2025-11,11,17767.39,3
Agra_T025,Alto 5 SC,2025-12,20,23357.16,2
Agra_T025,Alto 5 SC,2026-01,20,23208.55,2
Agra_T025,Alto 5 SC,2026-02,35,48738.97,4
Agra_T025,Alto 5 SC,2026-03,24,16889.25,2
Agra_T025,Cruiser 350 FS,2025-10,22,43767.85,3
Agra_T025,Cruiser 350 FS,2025-11,140,161737.86,5
Agra_T025,Cruiser 350 FS,2025-12,9,13578.369999999999,2
Agra_T025,Cruiser 350 FS,2026-01,13,13979.279999999999,5
Agra_T025,Cruiser 350 FS,2026-02,25,29250.24,6
Agra_T025,Cruiser 350 FS,2026-03,13,14173.89,2
Agra_T025,Score 250 EC,2025-10,10,18451.739999999998,4
Agra_T025,Score 250 EC,2025-11,128,215841.89999999997,3
Agra_T025,Score 250 EC,2025-12,32,55407.64,3
Agra_T025,Score 250 EC,2026-01,1,1857.63,1
Agra_T025,Score 250 EC,2026-02,11,9991.75,6
Agra_T025,Score 250 EC,2026-03,31,55067.92999999999,5
Agra_T025,Vertimec 1.8 EC,2025-10,60,102297.65,3
Agra_T025,Vertimec 1.8 EC,2025-11,10,10270.78,3
Agra_T025,Vertimec 1.8 EC,2025-12,35,46659.020000000004,7
Agra_T025,Vertimec 1.8 EC,2026-01,45,50258.48,7
Agra_T025,Vertimec 1.8 EC,2026-03,5,3768.25,1
Agra_T027,Actara 25 WG,2025-10,14,13558.23,4
Agra_T027,Actara 25 WG,2025-11,4,5001.42,3
Agra_T027,Actara 25 WG,2025-12,103,95444.02,5
Agra_T027,Actara 25 WG,2026-01,7,13794.34,1
Agra_T027,Actara 25 WG,2026-02,12,17898.96,3
Agra_T027,Actara 25 WG,2026-03,7,9180.26,3
Agra_T027,Cruiser 350 FS,2025-11,11,17414.670000000002,3
Agra_T027,Cruiser 350 FS,2025-12,8,6858.16,1
Agra_T027,Cruiser 350 FS,2026-01,90,89078.51000000001,3
Agra_T027,Cruiser 350 FS,2026-02,18,21670.440000000002,2
Agra_T027,Cruiser 350 FS,2026-03,25,39002.770000000004,2
Agra_T027,Tilt 250 EC,2025-10,78,123644.65,5
Agra_T027,Tilt 250 EC,2025-11,27,45240.74,4
Agra_T027,Tilt 250 EC,2025-12,11,17168.3,2
Agra_T027,Tilt 250 EC,2026-01,56,70333.76000000001,1
Agra_T027,Tilt 250 EC,2026-02,21,31648.43,3
Agra_T027,Tilt 250 EC,2026-03,34,54214.5,4
Agra_T027,Vertimec 1.8 EC,2025-10,23,19437.149999999998,5
Agra_T027,Vertimec 1.8 EC,2025-11,28,42182.66,9
Agra_T027,Vertimec 1.8 EC,2025-12,13,18653.91,3
Agra_T027,Vertimec 1.8 EC,2026-01,25,23302.520000000004,7
Agra_T027,Vertimec 1.8 EC,2026-02,5,8297.87,3
Agra_T027,Vertimec 1.8 EC,2026-03,79,71241.06,3
Agra_T028,Actara 25 WG,2025-10,20,33654.08,4
Agra_T028,Actara 25 WG,2025-11,32,28695.31,5
Agra_T028,Actara 25 WG,2025-12,54,78874.66999999998,4
Agra_T028,Actara 25 WG,2026-01,17,7627.26,2
Agra_T028,Actara 25 WG,2026-02,26,29246.55,7
Agra_T028,Actara 25 WG,2026-03,3,6234.02,2
Agra_T028,Alto 5 SC,2025-10,15,13493.710000000001,5
Agra_T028,Alto 5 SC,2025-11,49,63278.83,9
Agra_T028,Alto 5 SC,2025-12,47,57368.52,6
Agra_T028,Alto 5 SC,2026-01,64,85357.95000000001,9
Agra_T028,Alto 5 SC,2026-02,58,36676.79,3
Agra_T028,Alto 5 SC,2026-03,16,17447.82,6
Agra_T028,Axial 50 EC,2025-10,9,11754.509999999998,6
Agra_T028,Axial 50 EC,2025-11,11,6581.219999999999,3
Agra_T028,Axial 50 EC,2025-12,221,126454.23999999999,2
Agra_T028,Axial 50 EC,2026-01,2,4374.96,1
Agra_T028,Axial 50 EC,2026-02,10,12960.26,2
Agra_T028,Movondo,2025-10,23,24092.93,4
Agra_T028,Movondo,2025-11,37,48081.02,2
Agra_T028,Movondo,2025-12,21,30784.04,3
Agra_T028,Movondo,2026-01,1,1664.8,1
Agra_T028,Movondo,2026-02,42,34160.1,5
Agra_T028,Movondo,2026-03,11,21298.09,1
Agra_T028,Score 250 EC,2025-10,8,8556.72,1
Agra_T028,Score 250 EC,2025-11,5,6125.54,2
Agra_T028,Score 250 EC,2025-12,19,18077.57,4
Agra_T028,Score 250 EC,2026-01,8,7657.25,3
Agra_T028,Score 250 EC,2026-02,111,103203.36,1
Agra_T028,Score 250 EC,2026-03,85,149522.23,3
Agra_T028,Vibrance Integral,2025-10,13,15057.630000000001,6
Agra_T028,Vibrance Integral,2025-11,6,9505.73,2
Agra_T028,Vibrance Integral,2025-12,142,160370.9,8
Agra_T028,Vibrance Integral,2026-01,29,50807.72,7
Agra_T028,Vibrance Integral,2026-02,18,26312.370000000003,5
Agra_T028,Vibrance Integral,2026-03,13,26732.44,3
Agra_T029,Amistar 250 SC,2025-10,13,19972.11,3
Agra_T029,Amistar 250 SC,2025-11,9,16212.04,4
Agra_T029,Amistar 250 SC,2025-12,119,101369.03,4
Agra_T029,Amistar 250 SC,2026-01,6,10052.26,3
Agra_T029,Amistar 250 SC,2026-02,3,4670.02,3
Agra_T029,Amistar 250 SC,2026-03,38,40529.65,4
Agra_T029,Score 250 EC,2025-10,207,420327.59,4
Agra_T029,Score 250 EC,2025-11,2,2704.2799999999997,2
Agra_T029,Score 250 EC,2025-12,8,11207.91,5
Agra_T029,Score 250 EC,2026-01,3,3083.67,1
Agra_T029,Score 250 EC,2026-02,34,49732.37,6
Agra_T029,Score 250 EC,2026-03,15,15523.119999999999,2
Agra_T030,Axial 50 EC,2025-10,136,79956.83,5
Agra_T030,Axial 50 EC,2025-12,21,21614.669999999995,9
Agra_T030,Axial 50 EC,2026-01,30,25161.91,5
Agra_T030,Axial 50 EC,2026-02,3,5316.42,1
Agra_T030,Axial 50 EC,2026-03,14,23574.89,4
Agra_T030,Kavach 75 WP,2025-10,18,32021.37,6
Agra_T030,Kavach 75 WP,2025-11,15,18941.85,5
Agra_T030,Kavach 75 WP,2025-12,27,22456.44,5
Agra_T030,Kavach 75 WP,2026-01,28,16693.86,6
Agra_T030,Kavach 75 WP,2026-02,30,35903.77,6
Agra_T030,Kavach 75 WP,2026-03,13,18036.21,3
Agra_T030,Tilt 250 EC,2025-10,93,156300.75,5
Agra_T030,Tilt 250 EC,2025-11,16,22577.120000000003,5
Agra_T030,Tilt 250 EC,2025-12,28,46680.08,7
Agra_T030,Tilt 250 EC,2026-01,4,3258.71,2
Agra_T030,Tilt 250 EC,2026-02,3,6567.299999999999,1
Agra_T030,Tilt 250 EC,2026-03,28,37403.35,7
Agra_T030,Vertimec 1.8 EC,2025-10,1,1289.58,1
Agra_T030,Vertimec 1.8 EC,2025-11,10,14921.6,3
Agra_T030,Vertimec 1.8 EC,2025-12,15,18162.5,4
Agra_T030,Vertimec 1.8 EC,2026-01,8,9967.220000000001,5
Agra_T030,Vertimec 1.8 EC,2026-02,49,26419.120000000003,2
Agra_T030,Vertimec 1.8 EC,2026-03,5,7600.46,2
Agra_T030,Vibrance Integral,2025-10,4,7501.2,1
Agra_T030,Vibrance Integral,2025-11,26,12605.07,2
Agra_T030,Vibrance Integral,2025-12,25,44829.38,5
Agra_T030,Vibrance Integral,2026-01,8,11506.340000000002,5
Agra_T030,Vibrance Integral,2026-02,28,46257.36,2
Agra_T030,Vibrance Integral,2026-03,6,2560.7400000000002,1
Agra_T031,Kavach 75 WP,2025-10,8,15924.16,1
Agra_T031,Kavach 75 WP,2025-11,43,71577.75,4
Agra_T031,Kavach 75 WP,2025-12,33,45947.219999999994,1
Agra_T031,Kavach 75 WP,2026-01,5,5461.130000000001,4
Agra_T031,Kavach 75 WP,2026-02,22,35190.45,5
Agra_T031,Kavach 75 WP,2026-03,60,38837.16,2
Agra_T031,Topik 15 WP,2025-10,24,21894.379999999997,4
Agra_T031,Topik 15 WP,2025-11,39,33710.64,6
Agra_T031,Topik 15 WP,2025-12,20,34777.88,3
Agra_T031,Topik 15 WP,2026-01,83,141168.99999999997,4
Agra_T031,Topik 15 WP,2026-02,8,14320.8,1
Agra_T031,Topik 15 WP,2026-03,16,22864.98,7
Agra_T031,Vibrance Integral,2025-10,13,23127.19,3
Agra_T031,Vibrance Integral,2025-11,10,14422.800000000001,3
Agra_T031,Vibrance Integral,2025-12,176,197250.38999999998,5
Agra_T031,Vibrance Integral,2026-01,14,16329.03,4
Agra_T031,Vibrance Integral,2026-02,13,12921.57,4
Agra_T031,Vibrance Integral,2026-03,6,9070.5,1
Agra_T034,Actara 25 WG,2025-10,9,8404.88,3
Agra_T034,Actara 25 WG,2025-11,47,79986.56,8
Agra_T034,Actara 25 WG,2025-12,3,4818.71,2
Agra_T034,Actara 25 WG,2026-01,20,18244.09,7
Agra_T034,Actara 25 WG,2026-02,181,174039.63999999998,4
Agra_T034,Actara 25 WG,2026-03,25,35242.130000000005,2
Agra_T034,Alto 5 SC,2025-10,14,16114.56,3
Agra_T034,Alto 5 SC,2025-11,13,12018.14,2
Agra_T034,Alto 5 SC,2025-12,41,43427.270000000004,4
Agra_T034,Alto 5 SC,2026-01,17,21916.32,3
Agra_T034,Alto 5 SC,2026-02,19,31142.449999999997,3
Agra_T034,Alto 5 SC,2026-03,21,35114.590000000004,6
Agra_T034,Tilt 250 EC,2025-10,11,21503.25,2
Agra_T034,Tilt 250 EC,2025-11,7,4534.549999999999,2
Agra_T034,Tilt 250 EC,2025-12,3,5511.14,2
Agra_T034,Tilt 250 EC,2026-01,24,24892.190000000002,5
